#               time           E_Zeeman            E_total                m_x                m_y                m_z 
#                <s>                <J>                <J>                 <>                 <>                 <> 
             6.5e-10     -80000.0002887     -80000.0002887    -0.584494869247    -0.135520267927     0.800000002887 
             6.6e-10     -80000.0002936     -80000.0002936    -0.540572436613     -0.26034868132     0.800000002936 
             6.7e-10      -80000.000299      -80000.000299    -0.470355189566    -0.372513074472      0.80000000299 
             6.8e-10     -80000.0003042     -80000.0003042    -0.377258673102    -0.466557486809     0.800000003042 
             6.9e-10     -80000.0003089     -80000.0003089    -0.265811337913    -0.537907359587     0.800000003089 
               7e-10     -80000.0003131     -80000.0003131    -0.141434265061    -0.583092054025     0.800000003131 
             7.1e-10     -80000.0003172     -80000.0003172   -0.0101774708443    -0.599913672003     0.800000003172 
             7.2e-10     -80000.0003239     -80000.0003239     0.121574381335    -0.587553967265     0.800000003239 
             7.3e-10     -80000.0003285     -80000.0003285     0.247412547215    -0.546614147286     0.800000003285 
             7.4e-10     -80000.0003338     -80000.0003338     0.361215939229    -0.479085628771     0.800000003338 
             7.5e-10      -80000.000339      -80000.000339      0.45744887174    -0.388253170129      0.80000000339 
             7.6e-10     -80000.0003438     -80000.0003438     0.531430330828    -0.278535092539     0.800000003438 
             7.7e-10     -80000.0003481     -80000.0003481     0.579561670688     -0.15526836159     0.800000003481 
             7.8e-10     -80000.0003515     -80000.0003515     0.599501660889   -0.0244489837303     0.800000003515 
             7.9e-10     -80000.0003583     -80000.0003583     0.590280369645     0.107559654679     0.800000003583 
               8e-10     -80000.0003626     -80000.0003626     0.552346344022     0.234336318642     0.800000003626 
             8.1e-10      -80000.000368      -80000.000368     0.487544791271     0.349714269661      0.80000000368 
             8.2e-10     -80000.0003732     -80000.0003732     0.399027823275     0.448081231557     0.800000003732 
             8.3e-10     -80000.0003781     -80000.0003781     0.291101129875     0.524652385812     0.800000003781 
             8.4e-10     -80000.0003824     -80000.0003824     0.169014539184     0.575703117269     0.800000003824 
             8.5e-10      -80000.000386      -80000.000386    0.0387066526396      0.59875018889      0.80000000386 
             8.6e-10      -80000.000393      -80000.000393   -0.0934840236341     0.592672532586      0.80000000393 
             8.7e-10     -80000.0003972     -80000.0003972    -0.221127399856     0.557765781011     0.800000003972 
             8.8e-10     -80000.0004027     -80000.0004027    -0.338014578447     0.495727887154     0.800000004027 
             8.9e-10     -80000.0004079     -80000.0004079    -0.438459870573     0.409576531512     0.800000004079 
               9e-10     -80000.0004128     -80000.0004128    -0.517577362454     0.303502334538     0.800000004128 
             9.1e-10     -80000.0004172     -80000.0004172    -0.571518578621     0.182665014227     0.800000004172 
             9.2e-10     -80000.0004209     -80000.0004209    -0.597659681522    0.0529424043319     0.800000004209 
             9.3e-10     -80000.0004278     -80000.0004278    -0.594729101566   -0.0793554583643     0.800000004278 
             9.4e-10     -80000.0004314     -80000.0004314    -0.562869389579     -0.20779327026     0.800000004314 
             9.5e-10     -80000.0004368     -80000.0004368     -0.50363028285     -0.32612349041     0.800000004368 
