#               step               time           E_Zeeman            E_total                m_x                m_y                m_z            m_error            skx_num 
#                 <>                <s>                <J>                <J>                 <>                 <>                 <>                 <>                 <> 
                 120            1.2e-10      -78596.985261      -78596.985261    -0.323582625679      0.52682603882      0.78596985261  1.60835789131e-11                  0 
                 121           1.21e-10     -78932.5552185     -78932.5552185    -0.330536350217     0.517407860307     0.789325552185  2.72559752545e-11                  0 
                 122           1.22e-10      -79263.474775      -79263.474775    -0.337265461129     0.507919447821      0.79263474775  4.29509761091e-11                  0 
                 123           1.23e-10     -79589.7892839     -79589.7892839    -0.343770075848     0.498366009316     0.795897892839  5.74345015991e-11                  0 
                 124           1.24e-10     -79911.5442647     -79911.5442647    -0.350050428519     0.488752705314     0.799115442647  6.71747102388e-11                  0 
                 125           1.25e-10      -80228.785379      -80228.785379    -0.356106867651      0.47908464661      0.80228785379  7.24895699022e-11                  0 
                 126           1.26e-10     -80541.5584077     -80541.5584077    -0.361939853736     0.469366892053     0.805415584077  7.57758300551e-11                  0 
                 127           1.27e-10     -80849.9092281     -80849.9092281    -0.367549956845     0.459604446413     0.808499092281  7.90427723274e-11                  0 
                 128           1.28e-10     -81153.8837922     -81153.8837922    -0.372937854197      0.44980225835     0.811538837922  8.27433677131e-11                  0 
                 129           1.29e-10     -81453.5281053     -81453.5281053     -0.37810432771     0.439965218466     0.814535281053  8.63464855172e-11                  0 
                 130            1.3e-10     -81748.8882055     -81748.8882055    -0.383050261524      0.43009815745     0.817488882055  8.99882390826e-11                  0 
                 131           1.31e-10      -82040.010144      -82040.010144    -0.387776639524     0.420205844298      0.82040010144  9.24116339007e-11                  0 
                 132           1.32e-10     -82326.9399654     -82326.9399654    -0.392284542838     0.410292984623     0.823269399654  9.41158262435e-11                  0 
                 133           1.33e-10     -82609.7236898     -82609.7236898    -0.396575147336     0.400364219051     0.826097236898   9.5482954876e-11                  0 
                 134           1.34e-10     -82888.4072937     -82888.4072937    -0.400649721109     0.390424121693     0.828884072937  9.66258184576e-11                  0 
                 135           1.35e-10     -83163.0366934     -83163.0366934    -0.404509621953     0.380477198708     0.831630366934   9.7501784424e-11                  0 
                 136           1.36e-10     -83433.6577275     -83433.6577275    -0.408156294841     0.370527886937     0.834336577275  9.80673320328e-11                  0 
                 137           1.37e-10     -83700.3161414     -83700.3161414    -0.411591269403     0.360580552625     0.837003161414  9.83568781976e-11                  0 
                 138           1.38e-10     -83963.0575706     -83963.0575706    -0.414816157399     0.350639490213     0.839630575706  9.84610171173e-11                  0 
                 139           1.39e-10     -84221.9275266     -84221.9275266    -0.417832650199     0.340708921213     0.842219275266  9.84627934741e-11                  0 
                 140            1.4e-10     -84476.9713818     -84476.9713818    -0.420642516268     0.330792993156     0.844769713818  9.83995107617e-11                  0 
                 141           1.41e-10     -84728.2343553     -84728.2343553    -0.423247598656     0.320895778615     0.847282343553   9.9096286732e-11                  0 
                 142           1.42e-10     -84975.7615002     -84975.7615002    -0.425649812497     0.311021274297     0.849757615002  9.93882753875e-11                  0 
                 143           1.43e-10       -85219.59769       -85219.59769    -0.427851142522     0.301173400214       0.8521959769  9.93516380277e-11                  0 
                 144           1.44e-10     -85459.7876065     -85459.7876065    -0.429853640579     0.291355998918     0.854597876065   9.9067642978e-11                  0 
                 145           1.45e-10     -85696.3757278     -85696.3757278    -0.431659423166     0.281572834807     0.856963757278  9.86020154414e-11                  0 
                 146           1.46e-10     -85929.4063173     -85929.4063173    -0.433270668987       0.2718275935     0.859294063173  9.80024950081e-11                  0 
                 147           1.47e-10     -86158.9234123     -86158.9234123    -0.434689616516      0.26212388127     0.861589234123  9.73030545026e-11                  0 
                 148           1.48e-10     -86384.9708139     -86384.9708139    -0.435918561582     0.252465224553     0.863849708139  9.65303392775e-11                  0 
                 149           1.49e-10     -86607.5920774     -86607.5920774    -0.436959854974     0.242855069513     0.866075920774  9.57074419716e-11                  0 
                 150            1.5e-10     -86826.8305021     -86826.8305021    -0.437815900067     0.233296781664     0.868268305021  9.48545686441e-11                  0 
